1	92
1	96
1	98
1	99
2	39
2	89
2	90
2	94
3	75
3	93
3	94
3	99
4	19
4	87
4	90
4	93
5	42
5	96
5	97
5	100
6	53
6	59
6	90
6	93
7	22
7	87
7	90
7	93
8	97
8	98
8	99
8	100
9	78
9	81
9	92
9	95
10	54
10	74
10	81
10	99
11	58
11	86
11	91
11	92
12	71
12	92
12	95
12	96
13	38
13	87
13	89
13	94
14	45
14	89
14	93
14	94
15	71
15	98
15	99
15	100
16	97
16	98
16	99
16	100
17	97
17	98
17	99
17	100
18	49
18	98
18	99
18	100
19	4
19	77
19	93
19	94
20	84
20	89
20	93
20	94
21	96
21	98
21	99
21	100
22	7
22	87
22	93
22	99
23	64
23	79
23	81
23	93
24	64
24	74
24	92
24	95
25	60
25	72
25	85
25	92
26	32
26	66
26	84
26	93
26	94
27	51
27	96
27	97
27	99
27	100
28	68
28	84
28	87
28	93
28	94
29	73
29	88
29	98
29	99
29	100
30	95
30	96
30	97
30	98
30	99
31	47
31	48
31	79
31	85
31	95
32	26
32	52
32	55
32	84
32	90
33	95
33	96
33	98
33	99
33	100
34	78
34	91
34	96
34	97
34	100
35	36
35	49
35	85
35	92
35	95
36	35
36	96
36	98
36	99
36	100
37	79
37	86
37	91
37	92
37	95
38	13
38	64
38	79
38	85
38	95
39	2
39	97
39	98
39	99
39	100
40	69
40	97
40	98
40	99
40	100
41	87
41	89
41	90
41	91
41	93
41	94
42	5
42	84
42	87
42	89
42	90
42	94
43	70
43	88
43	96
43	97
43	99
43	100
44	79
44	82
44	85
44	86
44	92
44	95
45	14
45	91
45	97
45	98
45	99
45	100
46	81
46	96
46	97
46	98
46	99
46	100
47	31
47	83
47	96
47	98
47	99
47	100
48	31
48	66
48	81
48	86
48	92
48	95
49	18
49	35
49	70
49	78
49	86
49	92
50	63
50	83
50	97
50	98
50	99
50	100
51	27
51	70
51	74
51	85
51	92
51	95
52	32
52	56
52	58
52	89
52	90
52	94
53	6
53	75
53	87
53	90
53	93
53	94
54	10
54	72
54	78
54	85
54	92
54	95
54	100
55	32
55	68
55	87
55	93
55	94
55	97
55	100
56	52
56	57
56	89
56	90
56	93
56	94
56	98
57	56
57	91
57	94
57	96
57	97
57	98
57	100
58	11
58	52
58	67
58	70
58	71
58	92
58	95
59	6
59	86
59	96
59	97
59	98
59	99
59	100
60	25
60	91
60	96
60	97
60	98
60	99
60	100
61	65
61	75
61	84
61	89
61	90
61	93
61	94
62	75
62	83
62	88
62	96
62	97
62	98
62	99
62	100
63	50
63	68
63	75
63	87
63	89
63	90
63	93
63	94
64	23
64	24
64	38
64	81
64	85
64	86
64	95
64	98
65	61
65	88
65	91
65	96
65	97
65	98
65	99
65	100
66	26
66	48
66	80
66	96
66	97
66	98
66	99
66	100
67	58
67	74
67	78
67	79
67	81
67	85
67	95
67	99
68	28
68	55
68	63
68	89
68	90
68	93
68	94
68	100
69	40
69	90
69	91
69	96
69	97
69	98
69	99
69	100
70	43
70	49
70	51
70	58
70	72
70	81
70	85
70	86
70	95
71	12
71	15
71	58
71	72
71	81
71	85
71	86
71	92
71	95
71	100
72	25
72	54
72	70
72	71
72	78
72	86
72	88
72	92
72	95
72	97
73	29
73	82
73	84
73	88
73	91
73	96
73	97
73	98
73	99
73	100
74	10
74	24
74	51
74	67
74	78
74	86
74	92
74	95
74	96
74	99
75	3
75	53
75	61
75	62
75	63
75	84
75	89
75	93
75	94
75	96
76	83
76	87
76	88
76	91
76	92
76	96
76	97
76	98
76	99
76	100
77	19
77	79
77	82
77	83
77	88
77	91
77	96
77	97
77	98
77	99
77	100
78	9
78	34
78	49
78	54
78	67
78	72
78	74
78	86
78	92
78	95
78	98
79	23
79	31
79	37
79	38
79	44
79	67
79	77
79	85
79	86
79	92
79	95
80	66
80	82
80	83
80	84
80	88
80	91
80	96
80	97
80	98
80	99
80	100
81	9
81	10
81	23
81	46
81	48
81	64
81	67
81	70
81	71
81	86
81	87
81	95
82	44
82	73
82	77
82	80
82	83
82	88
82	91
82	94
82	96
82	97
82	98
82	99
82	100
83	47
83	50
83	62
83	76
83	77
83	80
83	82
83	85
83	88
83	89
83	91
