param N := 62;

param m := 159;

param d:=
1	6
2	8
3	4
4	3
5	1
6	4
7	6
8	5
9	6
10	7
11	5
12	1
13	1
14	8
15	12
16	7
17	6
18	9
19	7
20	4
21	9
22	6
23	1
24	3
25	6
26	3
27	3
28	5
29	5
30	9
31	5
32	1
33	3
34	10
35	5
36	1
37	7
38	11
39	8
40	2
41	8
42	5
43	6
44	7
45	4
46	11
47	2
48	6
49	1
50	2
51	7
52	10
53	4
54	2
55	7
56	2
57	2
58	9
59	1
60	5
61	1
62	3
;

param: VV: a :=
1	11	1
1	15	1
1	16	1
1	41	1
1	43	1
1	48	1
2	18	1
2	20	1
2	27	1
2	28	1
2	29	1
2	37	1
2	42	1
2	55	1
3	11	1
3	43	1
3	45	1
3	62	1
4	9	1
4	15	1
4	60	1
5	52	1
6	10	1
6	14	1
6	57	1
6	58	1
7	10	1
7	14	1
7	18	1
7	55	1
7	57	1
7	58	1
8	20	1
8	28	1
8	31	1
8	41	1
8	55	1
9	21	1
9	29	1
9	38	1
9	46	1
9	60	1
10	14	1
10	18	1
10	33	1
10	42	1
10	58	1
11	30	1
11	43	1
11	48	1
12	52	1
13	34	1
14	18	1
14	33	1
14	42	1
14	55	1
14	58	1
15	17	1
15	25	1
15	34	1
15	35	1
15	38	1
15	39	1
15	41	1
15	44	1
15	51	1
15	53	1
16	19	1
16	25	1
16	41	1
16	46	1
16	56	1
16	60	1
17	21	1
17	34	1
17	38	1
17	39	1
17	51	1
18	23	1
18	26	1
18	28	1
18	32	1
18	58	1
19	21	1
19	22	1
19	25	1
19	30	1
19	46	1
19	52	1
20	31	1
20	55	1
21	29	1
21	37	1
21	39	1
21	45	1
21	48	1
21	51	1
22	30	1
22	34	1
22	38	1
22	46	1
22	52	1
24	37	1
24	46	1
24	52	1
25	30	1
25	46	1
25	52	1
26	27	1
26	28	1
27	28	1
29	31	1
29	48	1
30	36	1
30	44	1
30	46	1
30	52	1
30	53	1
31	43	1
31	48	1
33	61	1
34	35	1
34	38	1
34	39	1
34	41	1
34	44	1
34	51	1
35	38	1
35	45	1
35	50	1
37	38	1
37	40	1
37	41	1
37	60	1
38	41	1
38	44	1
38	46	1
38	62	1
39	44	1
39	45	1
39	53	1
39	59	1
40	58	1
41	53	1
42	55	1
42	58	1
43	48	1
43	51	1
44	47	1
44	54	1
46	51	1
46	52	1
46	60	1
47	50	1
49	58	1
51	52	1
52	56	1
54	62	1
55	58	1
;
